name,characteristics,"('Рубашка Katty Po', 584005427)","('Блузка', 560122531)","('Рубашка ТВОЕ', 509374399)","('Рубашка Mechtay', 318949926)","('Блузка ТВОЕ', 522888237)","('Рубашка Katty Po', 407602001)","('Рубашка Pretty Woman Co', 450787103)","('Блузка ТВОЕ', 522888290)","('Рубашка Vintage Стиль. Бестселлеры', 639945267)","('Блузка Cosagach', 319199736)","('Рубашка PARETO', 410665541)","('Рубашка PARETO', 313496441)","('Рубашка ТВОЕ', 509374321)","('Блузка SPARADA', 356548885)","('Рубашка Весь мир моды', 535972636)","('Рубашка Trendy Truth oversize', 292189564)","('Рубашка Fashion AnastatioN', 565219382)","('Рубашка Pretty Woman Co', 451206612)","('Блузка Planestetica', 481656925)","('Рубашка ТВОЕ', 509374491)","('Рубашка TRENDY.wear', 622100403)","('Рубашка', 617901120)","('Блузка Finn Flare', 590912111)","('Рубашка OVS', 348032843)","('Блузка GismoTop Одежда для женщин', 589725070)","('Блузка SPARADA', 343607572)","('Блузка DStrend', 598759612)","('Блузка DStrend', 598757615)","('Рубашка PN Market', 511272407)","('Рубашка ТВОЕ', 309090741)","('Рубашка Margo VITA', 607090881)","('Рубашка MirrorStore', 192712454)","('Рубашка', 617893591)","('Рубашка ТВОЕ', 509374453)"
"('Рубашка PARETO', 410665541)","{'description': 'качественная рубашка oversize из плотного хлопка в стиле сафари. свободная и удлиненная, стильная рубашка - оверсайз может быть альтернативой нашей классической хлопковой рубашки из плотной ткани. рубашку можно носить как блузку, а можно носить как второй слой поверх футболки или топа. идеально сочетается с шортами и короткими топами, леггинсами, джинсами, брюками и юбками, а так же прекрасное дополнение к образу для отдыха.<br/><br/>рубашка - oversize и это означает, что рубашка очень свободная, если вы любите изделия меньшего объёма, то рекомендуем к заказу на размер меньше.<br/><br/>сделано в россии по итальянской лицензии.<br/><br/>прекрасно подойдет на день рождение, на вечер, в офис, на праздник, на прогулку, на каждый день.<br/><br/>белая рубашка, белая рубашка женская длинная, белая рубашка женская оверсайз, белая рубашка женская офисная базовая, белая рубашка женская хлопок, женская рубашка, рубашка белая длинная женская, рубашка женская офисная, рубашка женская, рубашка белая офисная, рубашка белая женская удлиненная, женская рубашка, рубашка белая офисная, рубашка женская.', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': '42', 'Рост модели на фото': '168 см', 'Параметры модели на фото': '42', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'PARETO', 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': nan, 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': nan, 'Длина изделия, см': '75', 'Длина рукава внешняя, см': 52.0, 'Цвет': 'Слоновая кость', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['хлопок', '70%хлопок 30%полиэстер']"", 'Количество в упаковке': 1.0, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",31.03,17.24,27.59,29.31,20.69,31.03,29.31,18.97,34.48,15.52,100.0,50.0,25.86,15.52,31.03,36.21,25.86,29.31,12.07,25.86,29.31,29.31,13.79,18.97,25.86,15.52,5.17,3.45,32.76,25.86,31.03,36.21,31.03,25.86
"('Рубашка PARETO', 313496441)","{'description': 'базовая рубашка с правильными оверсайз пропорциями. прямой крой, спущенная линия плеча. застежка на пуговицы. рубашка выполненна из плотной хлопковой ткани сатинового переплетения с добавлением полиэстра, чтобы изделие меньше мялось.<br/><br/>рубашка - oversize и это означает, что рубашка очень свободная, если вы любите изделия меньшего объёма, то рекомендуем к заказу на размер меньше.<br/><br/>сделано в россии по итальянской лицензии.<br/><br/>прекрасно подойдет на день рождение, на вечер, в офис, на праздник, на прогулку, на каждый день.<br/><br/>белая рубашка, белая рубашка женская длинная, белая рубашка женская оверсайз, белая рубашка женская офисная базовая, белая рубашка женская хлопок, женская рубашка, рубашка белая длинная женская, рубашка женская офисная, рубашка женская, рубашка белая офисная, рубашка белая женская удлиненная, женская рубашка, рубашка белая офисная, рубашка женская.', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': '42', 'Рост модели на фото': '167 см', 'Параметры модели на фото': nan, 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'PARETO', 'Российский размер': '48', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': nan, 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': nan, 'Длина изделия, см': '79', 'Длина рукава внешняя, см': 47.0, 'Цвет': 'Слоновая кость', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['70%хлопок, 30%полиэстер', 'сатин', 'лен', 'хлопок']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': 'Спортивная ходьба', 'Серия в одежде и обуви': nan}",31.03,17.24,25.86,27.59,18.97,31.03,27.59,18.97,32.76,13.79,50.0,100.0,25.86,15.52,25.86,29.31,25.86,27.59,13.79,25.86,29.31,27.59,12.07,17.24,22.41,15.52,3.45,3.45,31.03,27.59,29.31,32.76,29.31,25.86
"('Рубашка ТВОЕ', 509374321)","{'description': 'рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, вырез: рубашечный воротник.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': nan, 'Стиль': 'Повседневный', 'Размер товара на фото': '44', 'Рост модели на фото': '172 см', 'Параметры модели на фото': nan, 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'ТВОЕ', 'Российский размер': '42', 'Пол': 'Женский', 'Страна-изготовитель': 'Бангладеш', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'стирка при t не более 30С; щадящий режим отжима', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'XS', 'Длина изделия, см': '79.5', 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['лен', 'хлопок', 'Хлопок', '100% Хлопок']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",50.0,25.86,75.86,39.66,80.28,34.48,46.55,63.79,39.66,29.31,25.86,25.86,100.0,10.34,44.83,43.1,48.28,32.76,22.41,81.03,24.14,29.31,32.76,20.69,41.38,10.34,20.69,20.69,25.86,63.79,39.66,39.66,56.9,80.28
"('Блузка SPARADA', 356548885)","{'description': 'блуза комбинированная с гипюром. низ на широком манжете. приспущенный рукав. ткань- трикотаж с гладкой шелковистой фактурой. базовая вещь под жакет, пиджак или, как самостоятельная еденица гардероба.', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': nan, 'Рост модели на фото': nan, 'Параметры модели на фото': nan, 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'SPARADA', 'Российский размер': '54', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': nan, 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': nan, 'Длина рукава': nan, 'Тип упаковки одежды': 'Пакет', 'Размер производителя': nan, 'Длина изделия, см': nan, 'Длина рукава внешняя, см': nan, 'Цвет': 'Черный', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['гипюр', 'трикотаж', 'шелк', '65% полиэстер, 30% вискоза, 5% эластан.']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",13.79,36.21,10.34,10.34,17.24,13.79,8.62,17.24,15.52,10.34,15.52,15.52,10.34,100.0,10.34,12.07,24.14,22.41,18.97,10.34,12.07,10.34,17.24,10.34,20.69,27.59,10.34,12.07,13.79,10.34,13.79,15.52,12.07,10.34
"('Рубашка Весь мир моды', 535972636)","{'description': 'белая рубашка женская оверсайз из тонкого хлопка с кокеткой на спине. базовая рубашка идеально подходит в капсульный базовый гардероб на весну, лето, осень и зиму. универсальная одежда для женщин, девушек, девочек и подростков, для беременных, кормящих и будущих мам, для офиса, школы и университета, на каждый день. дома, такая одежда будет служить вам, как ночная рубашка, можно устроить в ней романтический вечер со второй половинкой.<br/><br/>всесезонная модная одежда подходит для высоких и невысоких, свободная модель подойдет также для больших размеров.<br/><br/>&nbsp;удлиненная женская рубашка выполнена полукругом, сзади длиннее на 5см. рукав свободного кроя на манжете превращает в стильную рубашку.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': '163-175', 'Стиль': nan, 'Размер товара на фото': '44', 'Рост модели на фото': '164 см', 'Параметры модели на фото': '84-70-95', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': nan, 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Киргизия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'для беременных', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': '44-48', 'Длина изделия, см': '70', 'Длина рукава внешняя, см': 52.0, 'Цвет': 'Чисто белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок', '100% хлопок']"", 'Количество в упаковке': 1.0, 'Детали': 'Воротник', 'Вид спорта': 'Пилатес', 'Серия в одежде и обуви': 'Весь мир моды'}",41.38,29.31,46.55,39.66,37.93,27.59,43.1,36.21,43.1,17.24,31.03,25.86,44.83,10.34,100.0,46.55,41.38,36.21,24.14,44.83,27.59,31.03,32.76,18.97,25.86,10.34,8.62,50.93,29.31,41.38,44.83,29.31,44.83,31.03
"('Рубашка Trendy Truth oversize', 292189564)","{'description': 'белая рубашка давно стала синонимом респектабельности, воплощением классики и самой моды, отвоевав себе почетное место почти в каждой нашей коллекции. белая рубашка- выбор истинных женщин и девушек. офисная, школьная, домашняя, нарядная, праздничная, летняя, весенняя - все это про рубашку нашего бренда. это свободная одежда больших размеров для взрослых, подростков и беременных, которая подарит вам комфорт и уют. а стиль oversize с его объемными деталями сделает образ женственным и сексуальным. классическая однотонная приталенная женская блузка с длинным рукавом и воротом-стойка в размер- превосходный выбор в офис для женщин, а для девочки - школу. как на лето-весна, так и на зима-осеньименно хлопок, не шифон и муслин - идеальная дышащая ткань, ставшая основой нашей коллекции. именно у нас представлены модная зебра и леопардовая блуза, удлиненная черная оверсайз рубашка, а также белые укороченные модели, которые не оставят вас равнодушными.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': '150-180', 'Стиль': nan, 'Размер товара на фото': '42', 'Рост модели на фото': '168 см', 'Параметры модели на фото': '89-62-92', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Trendy Truth', 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': 'Cotton Peach', 'Вид одежды': nan, 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'M', 'Длина изделия, см': '75', 'Длина рукава внешняя, см': 57.0, 'Цвет': 'Белый, белоснежный, мраморный, мягкий белый, белый иней', 'Длина рукава по внутреннему шву, см': 50.0, 'Материал': ""['Хлопок', '100% хлопок', 'муслин', 'лен', 'хлопок', 'шифон']"", 'Количество в упаковке': 1.0, 'Детали': nan, 'Вид спорта': 'Ролики', 'Серия в одежде и обуви': 'oversize'}",43.1,27.59,44.83,43.1,37.93,29.31,39.66,37.93,58.62,18.97,36.21,29.31,43.1,12.07,46.55,100.0,43.1,39.66,22.41,43.1,31.03,34.48,31.03,18.97,24.14,12.07,8.62,6.9,29.31,39.66,41.38,32.76,48.28,29.31
"('Рубашка Fashion AnastatioN', 565219382)","{'description': nan, 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': '160-180', 'Стиль': nan, 'Размер товара на фото': nan, 'Рост модели на фото': '160 см', 'Параметры модели на фото': nan, 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Fashion AnastatioN', 'Российский размер': '38', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': nan, 'Размер производителя': 'oversize S', 'Длина изделия, см': '80', 'Длина рукава внешняя, см': nan, 'Цвет': 'Черный', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Вискоза', '80 % вискоза, 20 % полиэстер']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",46.55,37.93,48.28,41.38,41.38,32.76,32.76,41.38,41.38,13.79,25.86,25.86,48.28,24.14,41.38,43.1,100.0,46.55,22.41,48.28,24.14,27.59,27.59,15.52,24.14,10.34,6.9,6.9,24.14,37.93,37.93,25.86,43.1,34.48
"('Рубашка Pretty Woman Co', 451206612)","{'description': nan, 'Сезон': 'Демисезон', 'Коллекция': 'Базовая коллекция', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': '42', 'Рост модели на фото': '168 см', 'Параметры модели на фото': '83-61-90', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'Pretty Woman Co', 'Российский размер': '40/44-158/176', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'Деликатная стирка при 30 градусах', 'Материал подклада/внутренней отделки': 'Без подклада', 'Вид одежды': 'для кормления', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': '40;42;44', 'Длина изделия, см': '70', 'Длина рукава внешняя, см': 77.0, 'Цвет': 'Черный', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок', 'хлопок 30%, вискоза 30%, полиэстер 20%']"", 'Количество в упаковке': 1.0, 'Детали': nan, 'Вид спорта': 'Спортивная ходьба', 'Серия в одежде и обуви': nan}",37.93,37.93,32.76,37.93,25.86,24.14,87.65,25.86,43.1,15.52,29.31,27.59,32.76,22.41,36.21,39.66,46.55,100.0,18.97,32.76,24.14,22.41,22.41,10.34,18.97,8.62,10.34,10.34,25.86,32.76,37.93,27.59,37.93,18.97
"('Блузка Planestetica', 481656925)","{'description': nan, 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': nan, 'Рост модели на фото': nan, 'Параметры модели на фото': nan, 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'Planestetica', 'Российский размер': '48', 'Пол': 'Женский', 'Страна-изготовитель': 'Киргизия', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'Бережная стирка при 30 гр', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': nan, 'Длина рукава': nan, 'Тип упаковки одежды': nan, 'Размер производителя': nan, 'Длина изделия, см': nan, 'Длина рукава внешняя, см': nan, 'Цвет': 'Коричневый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок 80% Полиэстер 20%']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",27.59,34.48,22.41,22.41,29.31,13.79,18.97,29.31,25.86,8.62,12.07,13.79,22.41,18.97,24.14,22.41,22.41,18.97,100.0,22.41,8.62,8.62,29.31,8.62,20.69,18.97,8.62,8.62,12.07,24.14,27.59,12.07,22.41,8.62
"('Рубашка ТВОЕ', 509374491)","{'description': 'рубашка изготовлена из мягкой, тактильно-приятной ткани, базовый элемент гардероба на каждый день.рубашка, 100% хлопок, крой: oversize, вырез: рубашечный воротник.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': nan, 'Стиль': 'Повседневный', 'Размер товара на фото': '44', 'Рост модели на фото': '172 см', 'Параметры модели на фото': nan, 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'ТВОЕ', 'Российский размер': '42', 'Пол': 'Женский', 'Страна-изготовитель': 'Бангладеш', 'Вид принта': 'Однотонный', 'Инструкция по уходу': 'стирка при t не более 30С; щадящий режим отжима', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'XS', 'Длина изделия, см': '82', 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок', '100% Хлопок', 'лен', 'хлопок']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",50.0,25.86,90.85,39.66,50.0,34.48,46.55,85.92,39.66,29.31,25.86,25.86,81.03,10.34,44.83,43.1,48.28,32.76,22.41,100.0,24.14,29.31,32.76,20.69,41.38,10.34,20.69,20.69,25.86,63.79,39.66,39.66,56.9,50.0
"('Рубашка TRENDY.wear', 622100403)","{'description': 'стильная женская клетчатая рубашка с клетчатым принтом, который никогда не потеряет свою актуальность. свободный крой рубашки позволит вам чувствовать себя максимально комфортно и тепло в любой обстановке. мягкий, натуральный материал приятно ощущается на коже, а современный дизайн прекрасно дополнит самые разные образы.', 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2021', 'Рост': '150-180', 'Стиль': 'Домашний', 'Размер товара на фото': '42', 'Рост модели на фото': '164 см', 'Параметры модели на фото': nan, 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'TRENDY.wear', 'Российский размер': '40', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': 'Клетка', 'Инструкция по уходу': 'Бережная стирка при t не более 30С', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': 'прямая', 'Тип застежки': nan, 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'S', 'Длина изделия, см': '77', 'Длина рукава внешняя, см': 42.0, 'Цвет': 'Синяя клетка', 'Длина рукава по внутреннему шву, см': 40.0, 'Материал': ""['Полушерсть', 'хлопок 40%, шерсть 40%, акрил 20%', 'туаль']"", 'Количество в упаковке': 1.0, 'Детали': nan, 'Вид спорта': 'Спортивная ходьба', 'Серия в одежде и обуви': nan}",29.31,13.79,25.86,32.76,18.97,39.66,24.14,17.24,29.31,15.52,29.31,29.31,24.14,12.07,27.59,31.03,24.14,24.14,8.62,24.14,100.0,25.86,12.07,17.24,20.69,12.07,3.45,3.45,29.31,31.03,25.86,29.31,31.03,24.14
"('Рубашка', 617901120)","{'description': nan, 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': '155-180', 'Стиль': 'Классический', 'Размер товара на фото': '42', 'Рост модели на фото': '165 см', 'Параметры модели на фото': '78-56-84', 'Тип': 'Рубашка', 'Бренд в одежде и обуви': nan, 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Кыргызстан', 'Вид принта': 'Горох', 'Инструкция по уходу': 'Бережная стирка до 30 градусов', 'Материал подклада/внутренней отделки': 'Без подклада', 'Вид одежды': 'свободная модель', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': '46', 'Длина изделия, см': '63', 'Длина рукава внешняя, см': 60.0, 'Цвет': 'Розовый', 'Длина рукава по внутреннему шву, см': 50.0, 'Материал': ""['Полиэстер', '100% полиэстер']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",29.31,13.79,31.03,27.59,24.14,32.76,22.41,22.41,31.03,17.24,29.31,27.59,29.31,10.34,31.03,34.48,27.59,22.41,8.62,29.31,25.86,100.0,17.24,18.97,63.33,10.34,6.9,5.17,51.72,25.86,27.59,29.31,31.03,29.31
"('Блузка Finn Flare', 590912111)","{'description': nan, 'Сезон': 'На любой сезон', 'Коллекция': 'Весна-лето 2022', 'Рост': '176', 'Стиль': 'Повседневный', 'Размер товара на фото': '44', 'Рост модели на фото': '178 см', 'Параметры модели на фото': '84-57-88/178/S', 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'Finn Flare', 'Российский размер': '50', 'Пол': 'Женский', 'Страна-изготовитель': 'Вьетнам', 'Вид принта': 'Однотонный', 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': 'Без подклада', 'Вид одежды': 'с застежкой спереди', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Короткий', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'XL(176-100-106)', 'Длина изделия, см': '65', 'Длина рукава внешняя, см': nan, 'Цвет': 'Молочный', 'Длина рукава по внутреннему шву, см': 20.5, 'Материал': ""['Вискоза', 'Основной материал: 100% вискоза']"", 'Количество в упаковке': 1.0, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",27.59,34.48,32.76,27.59,37.93,15.52,22.41,37.93,29.31,17.24,13.79,12.07,32.76,17.24,32.76,31.03,27.59,22.41,29.31,32.76,12.07,17.24,100.0,12.07,24.14,18.97,13.79,13.79,13.79,29.31,27.59,13.79,31.03,20.69
"('Рубашка OVS', 348032843)","{'description': nan, 'Сезон': 'На любой сезон', 'Коллекция': 'Осень-зима 2021', 'Рост': nan, 'Стиль': 'Повседневный', 'Размер товара на фото': nan, 'Рост модели на фото': nan, 'Параметры модели на фото': nan, 'Тип': 'Рубашка', 'Бренд в одежде и обуви': 'OVS', 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Бангладеш', 'Вид принта': nan, 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': nan, 'Длина рукава': nan, 'Тип упаковки одежды': 'Пакет', 'Размер производителя': 'INT M', 'Длина изделия, см': nan, 'Длина рукава внешняя, см': nan, 'Цвет': 'Medium blue', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Хлопок', '98% хлопок 2% эластан']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",18.97,10.34,22.41,15.52,13.79,18.97,10.34,12.07,17.24,3.45,18.97,17.24,20.69,10.34,18.97,18.97,15.52,10.34,8.62,20.69,17.24,18.97,12.07,100.0,12.07,10.34,3.45,1.72,17.24,22.41,17.24,18.97,17.24,20.69
"('Блузка GismoTop Одежда для женщин', 589725070)","{'description': nan, 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': '150-180', 'Стиль': nan, 'Размер товара на фото': '44', 'Рост модели на фото': '173 см', 'Параметры модели на фото': '(ОГ-ОТ-ОБ)     89-63-95    ', 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'GismoTop', 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Киргизия', 'Вид принта': 'Принт/Логотип', 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': 'Без подклада', 'Вид одежды': 'оверсайз', 'Тип застежки': 'Пуговицы/Пуговица', 'Длина рукава': 'Длинный', 'Тип упаковки одежды': 'Пакет', 'Размер производителя': '44', 'Длина изделия, см': '55', 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['Полиэстер', '100% полиэстер']"", 'Количество в упаковке': 1.0, 'Детали': 'Манжеты', 'Вид спорта': nan, 'Серия в одежде и обуви': 'Одежда для женщин'}",31.03,24.14,43.1,22.41,34.48,31.03,32.76,48.28,25.86,34.48,25.86,22.41,41.38,20.69,25.86,24.14,24.14,18.97,20.69,41.38,20.69,63.33,24.14,12.07,100.0,20.69,25.86,24.14,24.14,34.48,25.86,39.66,34.48,27.59
"('Блузка SPARADA', 343607572)","{'description': 'блуза комбинированная с гипюром. низ на широком манжете. приспущенный рукав. ткань- трикотаж с гладкой шелковистой фактурой. базовая вещь под жакет, пиджак или, как самостоятельная еденица гардероба.', 'Сезон': 'На любой сезон', 'Коллекция': 'Базовая коллекция', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': nan, 'Рост модели на фото': nan, 'Параметры модели на фото': nan, 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'SPARADA', 'Российский размер': '50', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': nan, 'Инструкция по уходу': nan, 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': nan, 'Длина рукава': nan, 'Тип упаковки одежды': 'Пакет', 'Размер производителя': nan, 'Длина изделия, см': nan, 'Длина рукава внешняя, см': nan, 'Цвет': 'Синий', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['65% полиэстер, 30% вискоза, 5% эластан.', 'гипюр', 'трикотаж', 'шелк']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",13.79,22.41,10.34,10.34,17.24,15.52,8.62,17.24,15.52,10.34,15.52,15.52,10.34,27.59,10.34,12.07,10.34,8.62,18.97,10.34,12.07,10.34,18.97,10.34,20.69,100.0,10.34,10.34,13.79,10.34,13.79,15.52,12.07,12.07
"('Блузка DStrend', 598759612)","{'description': 'лаконичная блузка с воротником в виде банта и рукавами с тонкими манжетами - отличный выбор для делового и повседневного гардероба. универсальная длина позволит носить ее и заправленной, и навыпуск, и даже с поясом, - решать только вам!', 'Сезон': 'Демисезон', 'Коллекция': 'Весна-лето 2022', 'Рост': nan, 'Стиль': nan, 'Размер товара на фото': '44', 'Рост модели на фото': '170 см', 'Параметры модели на фото': '88 х 63 х 96 см.', 'Тип': 'Блузка', 'Бренд в одежде и обуви': 'DStrend', 'Российский размер': '44', 'Пол': 'Женский', 'Страна-изготовитель': 'Россия', 'Вид принта': nan, 'Инструкция по уходу': 'Бережная стирка при 30 градусах', 'Материал подклада/внутренней отделки': nan, 'Вид одежды': nan, 'Тип застежки': nan, 'Длина рукава': nan, 'Тип упаковки одежды': nan, 'Размер производителя': nan, 'Длина изделия, см': nan, 'Длина рукава внешняя, см': nan, 'Цвет': 'Белый', 'Длина рукава по внутреннему шву, см': nan, 'Материал': ""['лен', '100 п/э']"", 'Количество в упаковке': nan, 'Детали': nan, 'Вид спорта': nan, 'Серия в одежде и обуви': nan}",3.45,12.07,22.41,5.17,13.79,1.72,24.14,25.86,5.17,25.86,5.17,3.45,20.69,10.34,8.62,8.62,6.9,10.34,8.62,20.69,3.45,6.9,13.79,3.45,25.86,10.34,100.0,44.83,1.72,17.24,1.72,18.97,20.69,6.9
